222.206.199.30,Ocean University of China
211.87.129.229,Qingdao Ocean University Broad Band Network
211.64.177.214,Qingdao University
211.64.134.206,Ocean University Of Qingdao
211.64.217.2,Qingdao Institute Of Chemical Technology
222.207.144.133,Shandong Foreign Trade Vocational College
210.44.62.72,Laiyang Agricultural College
222.195.161.58,Qingdao College Of Hotel Management
58.195.140.22,Qingdao Agricultural College
211.64.198.166,Qingdao Institute Of Architecture And Engineering
111.116.115.184,Jilin Business And Technology College
125.223.252.237,JiLin Agricultural Science &amp; Technology College
125.223.255.128,The City College of Jilin Architectural and Civil Engineering
59.72.231.13,Changchun University
49.141.32.19,College of Humanities &amp; Sciences of Northeast Normal
125.222.223.98,Northeast Normal University
59.72.173.61,Beihua University
222.27.16.87,Yanbian University
58.155.180.211,JiLin Instruction Engineering University
202.198.3.152,Jilin Agriculture University
114.214.4.252,Shangdong University of Finance
121.250.118.238,Linyi Normal University
114.214.29.67,Yantai Engineering &amp; Technology College
211.64.41.180,Dezhou College
211.64.5.164,Shandong University Of Science &amp; Technology (jinan)
210.44.115.181,Liaocheng Teacher's University
219.231.162.195,Shandong University at Weihai
210.44.23.160,Jining Medical College
211.87.251.31,Yantai Medical College
210.44.45.112,Shandong College Of Public Security
222.18.31.136,Sichuan University Jiang'an Campus
218.194.8.176,Southwest Jiaotong University
121.48.5.119,Sichuan Police College
202.115.83.159,Chengdu University
121.48.26.253,Sichuan Cultural Commumication Vocational College
211.83.62.138,Luzhou Medical College
211.83.5.33,North Sichuan Medical College
222.196.0.41,Chengdu College of Sichuan International Studies University
120.94.26.190,Schuan Preschool Educators College
211.83.147.36,SiChuan University-Wangjiang District
125.221.236.162,Hunan University of Science and Technology
202.197.81.124,Hunan Medical University
202.197.30.34,Shaoyang High College
210.43.214.19,Xiangtan Normal University
218.196.114.87,Central South University
202.197.225.166,Xiangtan University
210.43.114.201,Central South Institute Of Technology
211.67.223.159,Xiangtan Polytechnic University
218.196.11.223,Hunan Building Materials College
59.71.97.168,Hunan Finance and Economic College
180.208.108.0,Lianyungang Teachers College
223.2.83.113,Ying Tian College
202.195.89.251,Nantong Medical College
202.195.182.38,Nanjing Medical University
58.192.49.116,Nanjing University
58.192.86.170,Yangzhou University
202.119.196.234,China University of Mining and Technology
121.248.252.107,Jiangnan University
222.193.137.140,Jin Ken University
210.28.93.247,Nanjing Audit Institute
202.192.200.54,Dongguan Institute of Technology
219.222.242.93,GuangZhou City Vocational College
202.192.94.78,Zhongkai Agriculture Institute Of Technology
125.216.105.75,Guangzhou Lingnan Polytechnic College
202.192.154.99,Shantou University
218.192.102.231,Nanhai College of South China Normal University
211.66.216.59,Baiyun vocational Technical College
202.116.31.102,Jinan University
222.17.105.178,Huizhou University
125.216.1.84,Nanhua College of Industry and Commerce
210.31.4.167,Centre University For Nationalities
59.64.121.140,Shougang Institute of Technology
222.29.140.156,Peking University New Campu Network
202.204.93.150,Beijing Institute of Technology
121.195.189.42,Peking University
202.204.223.201,Capital Normal University
211.71.102.94,Beijing Institute of Clothing Technology
211.71.63.221,Beijing Medical University
219.242.17.212,Beijing Dance Academy
202.112.197.222,Beijing Language &amp; Culture University
210.34.48.10,Fuzhou University
59.79.244.9,Fujian Agricultural and Forestry University
211.80.189.214,Fujian Institute of Technology
210.34.117.27,Fujian Public Security College
218.193.96.184,Sanming College
59.77.209.67,Fujian Normal University
210.34.93.58,Fujian Agricultural University
219.220.97.27,Fujian Teacher University
211.80.231.6,Fujian Radio and Television University
210.34.24.58,Ningde Teachers'college
210.26.181.28,Talimu Agricultural Reclamation University
222.25.229.233,Xinjiang agriculture University
202.201.233.134,Xinjiang Agricultural University
59.75.245.101,Xinjiang Normal University
202.201.248.92,Xin Jiang University
115.155.243.207,Shihezi University
222.25.209.190,Xinjiang University of Finance &amp; Economics
115.155.200.41,YiLi Normal University
219.247.25.224,Xinjiang Light Industrial Institute of Professional
210.26.144.39,Urumqi Vocational College
59.75.38.85,Xijing University
202.200.140.204,Institute Of Genetic Diagnosis
115.154.231.98,Xi'an Jiao Tong University
218.195.104.244,Shaanxi University of Science and Technology
202.117.192.232,Shaanxi Institute of Education
202.200.179.250,Xi'an Institute of Science &amp; Technology
218.195.43.135,Weinan Teachers College
59.74.40.249,Shaanxi Police Profession College
210.27.10.42,Xidian University
219.244.187.82,Shaanxi Normal University
202.118.52.75,Liaoning University
58.154.249.124,Northeastern University
118.202.116.239,Shenyang Jianzhu University Urban Construction College
202.118.118.216,Shenyang Electric Power Institute
118.202.16.130,Northeatern University
118.202.114.215,Shenyang Institute of Engineering
202.199.115.204,Shenyang Institute of Chemical Technology
125.222.49.29,ShenYang Polytechnic College
59.73.166.74,Shenyang Institute of Aeronautical Engineering
222.26.114.227,Liaoning University CERNET Integration department Dormitory
210.27.169.243,Qinghai Junior Teacher~{!/~}s College
59.75.195.204,Qinghai Professional Technical Health College
219.247.214.19,Qinghai Architectural Vocational and Technical College
219.247.198.228,Qinghai Communication Technology college
210.27.131.152,Qinghai Radio &amp; Television University
49.209.95.228,Qinghai University
210.27.165.247,Qinghai Medical college
219.247.237.198,Qinghai Normal University
219.247.241.242,Qinghai Minorities College
111.115.209.106,Qinghai University For Nationalities
222.203.3.27,Guangxi Normal University
125.217.0.180,Liuzhou Transport Vocational Technical College
202.193.184.231,Guangxi College of Technology
202.193.218.119,Guilin Normal College
202.193.75.147,Guilin Institute of Electronic Industry
222.203.44.59,Guilin Institute of Technology
202.193.206.190,Guilin Medical College
202.193.48.172,GuiLin Institute of Electronic Technology
222.203.62.201,Hezhou College
125.217.47.24,Guilin University Of Electronic Technology
110.65.147.121,South University of Science and Technology of China
210.39.3.56,Shenzhen University
125.218.45.23,Shenzhen University City
125.218.36.4,Shenzhen University Normal College Middle School
219.227.112.141,Nanshan School Affilit with National Institute For Educational Research
219.227.157.48,The Affiliated High School Of Peking University
219.223.130.143,The Second Primary School Attached to Normal College
219.227.161.223,Nanshan Middle School Attached To Beijing Normal University
116.57.235.145,Shenzhen (Nanshan) Concord College of Sina-Canada
219.227.99.95,Long Gang Vocational Technology Institute 
202.207.18.102,Inner Mongolia Polytechnic University
202.207.99.227,Inner Mongolia Radio &amp; TV University
222.199.77.237,Baotou Medical College
101.4.215.238,Inner Mongolia Normal University
211.82.173.119,Inner Mongolia Finance and Economics College
121.193.80.55,Inner Mongolia National College
222.31.243.167,Inner Mongolia Medical College
222.31.202.15,Baotou Teachers' College
222.31.228.55,Inner Mongolia Architecture Academy
222.199.125.252,Inner Mongolia University of Technology
59.79.151.42,Quzhou College
210.33.82.47,Zhejiang Normal University
121.192.5.92,Zhejiang Financial Professional College
210.33.125.86,China Academy Of Art
210.32.73.97,Hangzhou Teachers' college qianjiang college
210.32.20.185,Zhejiang Institute of Finance and Economics
211.80.157.207,Zhejiang Technology Institute Of Economy
59.79.144.108,Taizhou Vocational and Technology College
210.33.72.9,Zhejiang Water Conservancy &amp; Hydropower College
121.192.0.88,University of Nottingham-Ningbo
219.246.115.178,Gansu University of Technology
222.23.25.15,Longnan Teacher's College
219.246.20.167,Lanzhou Teachers College
59.76.88.182,Lanzhou Polytechnic College
59.76.142.155,Lanzhou Resources &amp; Envirsonment Voc-Tech College
111.115.14.189,Northwest Normal University
202.201.35.90,Gansu Polytechnical University
210.26.75.204,Hezuo Minorities Teachers College
59.74.239.2,Longdong University
59.76.127.101,Gansu Forestry Technological College
122.204.186.213,Central China Normal University
115.156.76.38,Wuhan University
125.220.191.48,Central China Normal University Wuhan Movie Engineering College
122.204.61.63,Wuhan Institute of Technology
59.68.82.130,South-Central University for Nationalities~{!/~} College of
218.197.27.171,Hubei Normal University
122.204.241.154,Huanggang Normal University
58.195.0.42,Hubei Institute of Education
218.199.40.251,China University of Geosciences
125.220.86.151,Hubei College of Education
210.47.220.36,Liaoning Normal University
222.26.240.36,Dalian Fisheries University
58.154.129.88,Liaoning Police Academy
58.155.212.141,Dalian University of Technology
210.47.239.184,Dalian Radio and TV University
219.217.166.0,Dongbei University of Finance &amp; Economics
219.216.165.237,Dalian Institute Of Light Industry
202.199.142.200,Dalian Railway Institute
210.30.41.68,Dalian University Of Foreign Language
58.155.200.83,Dalian Medical University
210.45.199.155,Anhui Normal University
210.45.136.196,Huaibei Coal Normal College
211.70.149.96,East China University Of Metallurgy
121.251.0.50,Huainan United University
210.45.92.65,Chaohu Teach College
121.251.30.249,An Qing Medical College
219.231.22.184,Chuzhou Teachers College
121.251.57.150,Maanshan Technology College
222.195.27.241,Tong Ling University
114.213.205.145,Hefei University Of Technology
222.19.121.179,Tibet University
210.41.7.128,University of Tibet
222.19.97.32,Tibet Traditional Medicine College
101.7.235.59,Hebei Engineering University
219.226.217.174,Hebei Communications Vocational and Technical College
121.193.241.168,Hebei Institute of Architectural Science and Technology
202.206.37.249,Shijiazhuang Railway Institute
59.67.251.184,Hebei Radio and TV University
202.206.59.196,Hebei Medical University
210.31.252.123,Shijiazhuang Teachers College
210.31.214.131,Chengde Petroleum College
59.67.195.116,Dongfang Vocational Academy of Art
211.81.98.167,Hebei Engineering and Technical college
222.17.130.3,Qiongzhou University
222.17.238.67,HaiNan Normal University
116.13.8.191,Sanya Aviation &amp; Tourism College
222.17.144.95,Hainan University
222.17.179.46,Hainan University Sanya College
210.37.54.129,South China University of Tropical Agriculture
125.217.127.157,Sanya City Vocational College
210.37.87.120,Haikou College of Economics and Vocational Technology
210.37.0.43,Hainan Normal University
116.13.15.116,Hainan Institute of Science &amp; Technology
211.82.98.34,Beijing Institute Of Machinery
211.68.40.31,Beijing Information Technical Institute
211.81.251.110,Yan Shan University
222.199.163.49,Institute of Finance &amp; Management Beijing (Tongzhou)
202.206.212.128,North China Electric Power University
59.65.197.159,The National Academy of Chinaese Theatre Arts
101.6.0.111,Tsinghua University
202.206.21.123,Northeast University At Qinhuangdao Campus
211.71.202.71,Beijing Second Foreign Language University
121.195.3.223,JiaHua Institute Of Beijing Technology &amp; Business University
222.198.176.141,Southwest-China Nomal University Yucai College
219.221.39.147,Chongqing Technology and Business University
202.202.203.0,Sichuan International Studies University
121.49.0.58,Chongqing Vocational Institute of Engineering
202.202.213.173,Chongqing Normal University
202.202.149.255,Chongqing Institute of Industry Management
218.194.171.199,Chongqing Jiaotong University
210.41.38.86,Fuling Teachers College
202.202.86.142,Southwest University of Political Science and Law
218.194.191.146,West chongqing university
121.49.192.39,Qianxinan Nationality Vocational and Technical College
210.40.62.244,Guizhou Institute of Agricultural
210.40.1.60,Guizhou University
222.198.214.171,Tongren College
210.40.128.64,National College Of Guizhou
222.198.240.10,Kaili College
222.198.224.253,Guizhou Radio and TV University
222.19.142.121,Zunyi Normal College
121.49.196.188,GuiYang Nursing Vocational College
222.198.250.168,Anshun College
183.170.178.94,Henan Institute Of Finace &amp; Economics
122.206.3.238,Jiaozuo University
211.84.145.11,Nanyang Teachers College
115.158.106.30,HeNan Institute of Engineering
122.206.116.9,Zhengzhou Vocational College of Economics and Trade
202.196.130.203,Zhengzhou College Of Animal Husbandry Engineering
125.219.175.241,Henan Vocational College Of Agriculture
211.84.86.211,Luoyang Medical College
122.207.211.1,Nanyang Institute of Technology
59.69.200.24,Zhengzhou Occupation Technology College
210.36.36.56,Guangxi University
210.36.150.27,GuangXi Technological College of Machinery and Electricity
210.36.141.197,Guangxi Commercial College
210.36.98.96,Guangxi College of Traditional Chinese Medicine
210.36.200.175,Wuzhou Branch Guangxi University
210.36.134.12,Guangxi Finance College
210.36.64.106,Guangxi University for Nationalities
116.13.207.164,QinZhou University
210.36.241.175,Yulin Teachers College
210.36.80.44,Guangxi Teacher's College
58.155.37.140,Daqing Petroleum Institute
118.203.219.118,Harbin Deqiang College Of Commerce
58.155.48.64,Heilongjiang Institute of Technology
202.118.162.28,NorthEast Agriculture University
202.118.198.218,Harbin University of Science and Technology
118.203.22.204,Harbin Institute of Technology
58.155.107.45,Harbin Engineering University
219.217.218.138,Northeast Agricultural University
219.217.199.84,North East Forest University
222.27.190.229,Harbin University of Commerce
210.27.248.181,Ning Xia Radio &amp; TV University
202.201.120.26,The Northwest Second Nationalties Institute
202.201.128.121,Ning Xia University Inc.
219.247.130.79,The Second Northwest University for Minorities
59.76.203.169,Professional institute of science and technology of Yinchuan
59.76.190.104,Ningxia Economics &amp; Trade Vocational and Technical College
59.76.230.156,Ningxia Medical College
59.76.214.130,Ninxia Constrution Vocationail and Technical College
210.27.199.36,Wang Tai Campus of Ningxia University
210.27.238.175,Ningxia University
210.34.208.242,Xiamen Medical College
59.77.111.61,Tenfu Tea College
210.34.17.145,Xiamen University
58.199.29.245,Jimei University
211.80.178.49,Zhangzhou Teachers College
222.205.176.50,Zhangzhou Normal University
58.199.91.189,Xiamen University Haiyun Campus
210.34.120.93,Quanzhou Teachers' College
218.193.80.208,HuaQiao University
58.199.59.238,Xiamen Huaxia College
211.80.88.93,Shanghai JiaoTong University
202.120.146.160,China Textile University Network
58.198.30.103,Shanghai Normal University Tianhua College
219.220.182.64,Shanghai Industrial&amp;Commercial Foreign Languages Institute
49.52.74.85,Shanghai International Studies University
58.198.164.88,Shanghai Ocean University
210.35.71.120,Shanghai College Of Electrical Machinery Technology
202.121.142.212,Shanghai University Of Finance &amp; Economics
202.120.142.121,Shanghai Second Medical University
222.204.201.30,Shanghai Politics and Law College
115.24.172.19,Hebei University of Technology
222.30.25.10,Tianjin University
222.30.75.143,Tianjin Institute of Urban Construction
115.26.3.6,Tianjin Institute of Software Engineering
222.30.58.106,Nankai University
202.113.84.48,Tianjin Commerical University
59.67.156.18,Tianjin University of Technology
115.26.98.229,Tianjin Medical University
202.113.75.115,Tianjin Institute Of Technology
222.30.97.94,Tianjin Professional College
211.68.70.247,Beijing Telecommunication &amp; Research Academy
202.112.157.138,Northern JiaoTong University
202.204.149.141,Capital University of Economics and Business
121.195.42.92,China University Mining &amp; Technology of Beijing
121.194.54.88,Northern Jiaotong University
118.229.215.171,Beijing University of Posts &amp; Telcommucations
202.112.92.155,Beijing Normal University
211.68.96.108,Haidian University
222.28.45.209,University of Science and Technology Beijing
222.28.17.17,Central Academy of Fine Arts
211.83.184.232,Chuxiong Teacher's College
222.197.230.48,Yunnan Normal University Business School
210.40.184.85,CampusNetworkofYunnanTraditionalMedicineInstitute
202.203.201.231,Yunnan Institute of Finance and Trade
202.203.237.104,Yunnan Normal University
180.84.145.176,YunNan JiaoTong College
222.197.242.193,Baoshan Teacher's College
202.203.157.167,Yunnan Institute of the Nationalities
202.203.82.83,Yuxi Teachers College
113.55.172.87,YunNan Normal University
202.207.225.19,Changzhi Medical College
211.82.60.183,Jinzhong Teachers College
222.31.22.224,Shanxi Police Academy
202.207.206.175,Shanxi Medical University
183.175.151.192,TaiYuan University of Technology
222.199.18.2,Shanxi Vocational and Technical College Of Electric Power
222.199.31.97,Shanxi Tourism Vocational College
210.31.98.118,The Jindongnan Teachers' College
211.82.8.114,Shanxi Agricultural University
219.243.145.237,Shanxi Communication Vocational and Technical College
