2019-04-22 22:58:00
47.103.57.168,PVG-CHN-ALI
39.106.226.79,PEK-CHN-ALI
111.231.242.46,CAN-CHN-TEC
148.70.191.42,CTU-CHN-TEC
119.28.224.26,HKG-CHN-TEC
47.254.199.30,KUL-MYS-ALI
147.139.135.128,CGK-IDN-ALI
47.91.115.30,DXB-UAE-ALI
124.156.240.50,BKK-THA-TEC
162.62.26.237,SVO-RUS-TEC
47.91.23.26,NRT-JPN-ALI
47.254.147.168,FRA-DEU-ALI
8.208.13.238,LHR-GBR-ALI
150.109.11.57,SIN-SGP-TEC
149.129.176.167,BOM-IND-ALI
119.28.252.103,BOM-IND-TEC
119.28.238.254,ICN-KOR-TEC
124.156.209.202,NRT-JPN-TEC
49.51.9.32,YYZ-CAN-TEC
49.51.155.166,FRA-DEU-TEC
47.74.239.84,SIN-SGP-ALI
47.91.43.34,SYD-AUS-ALI
13.232.180.247,BKK-THA-AWS
54.180.116.191,ICN-KOR-AWS
52.31.73.168,IRL-IRL-AWS
52.47.176.244,CDG-FRA-AWS
13.53.44.71,ARN-SWE-AWS
54.252.244.51,SYD-AUS-AWS
52.67.41.240,GRU-BRA-AWS
138.197.132.171,YYZ-CAN-DGO
46.101.133.157,FRA-DEU-DGO
167.99.194.67,LHR-GBR-DGO
128.199.87.21,SIN-SGP-DGO
68.183.91.158,BLR-IND-DGO
128.199.63.222,AMS-NLD-DGO
95.179.228.94,LHR-GBR-VUL
45.76.83.228,FRA-DEU-VUL
45.77.170.161,SIN-SGP-VUL
95.179.132.180,AMS-NLD-VUL
167.179.103.230,NRT-JPN-VUL
149.28.170.162,SYD-AUS-VUL
185.180.199.28,RUS-KSV-O2C
169.255.57.66,NGR-NGR-W4A
169.255.56.124,GNA-GNA-W4A
102.68.86.43,KEN-KEN-W4A
129.232.134.126,JNB-ZAF-SCL
196.46.191.13,CAI-EGY-CTN
